id,name,host_id,location,neighbourhood,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,review_scores_rating,cancellation_policy
8815257,Cool Boston Crib. Awesome Building,6103953,"Harrison Avenue, Boston, MA 02118, United States",South End,2118,42.34437308,-71.06457653,Apartment,Entire home/apt,6,2,2,3,$177.00,2,93,moderate
2215762,"Boutique South End, with sunshine",5430185,"Tremont Street, Boston, MA 02118, United States",South End,2118,42.34414714,-71.0727257,Apartment,Entire home/apt,2,1,1,1,$185.00,32,99,strict
14372667,South End Apt w/ Private Deck.,26510042,"Shawmut Avenue, Boston, MA 02118, United States",South End,2118,42.34278202,-71.07685954,Apartment,Entire home/apt,4,1,1,1,$240.00,1,100,flexible
3903273,Beautiful Brownstone Condo,2278181,"Upton Street, Boston, MA 02118, United States",South End,2118,42.3423346,-71.07311989,Apartment,Entire home/apt,2,1,1,1,$225.00,7,95,strict
12979965,Boston South End - Multiple Rooms,43217109,"Washington Street, Boston, MA 02118, United States",South End,2118,42.3383166,-71.07690856,Condominium,Private room,2,1.5,1,1,$125.00,2,93,moderate
13078164,Boston Penthouse - Modern Charm,23099761,"West Concord Street, Boston, MA 02118, United States",South End,2118,42.33986229,-71.07766733,Apartment,Entire home/apt,2,1,1,1,$175.00,1,,moderate
5067019,Fantastic 2 bed South End duplex!,26164941,"Dartmouth Street, Boston, MA 02116, United States",South End,2116,42.34531492,-71.07496561,Apartment,Entire home/apt,2,1.5,2,2,$150.00,1,100,moderate
5640375,Sunny Studio in Back Bay/ S. End,1444340,"Concord Square, Boston, MA 02118, United States",South End,2118,42.34076182,-71.08022288,Apartment,Entire home/apt,2,1,0,1,$122.00,2,84,strict
14405817,One Bedroom Apartment in South End,19055159,"East Berkeley Street, Boston, MA 02118, United States",South End,2118,42.34494302,-71.06745954,Apartment,Entire home/apt,2,1,1,1,$125.00,2,,strict
14589471,Salthill at Aisling,3189672,"East Concord Street, Boston, MA 02118, United States",South End,2118,42.33594762,-71.07516589,Bed & Breakfast,Private room,2,1,1,1,$325.00,1,,strict
